City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Bishoftu,8.75,38.9833,292.78,53,20,4.36,ET,1665387204
Shubarshi,48.5872,57.1869,290.76,26,6,7.1,KZ,1665387205
Muravlenko,63.7898,74.523,278.61,95,100,5.92,RU,1665387205
Ovsyanka,55.9575,92.5519,286.69,63,95,6.52,RU,1665387205
Humaitá,-7.5061,-63.0208,298.6,65,100,1.38,BR,1665387206
Port Hedland,-20.3167,118.5667,304.18,40,96,8.23,AU,1665387206
Taksimo,56.3444,114.8794,279.0,58,73,0.7,RU,1665387206
Midwest City,35.4495,-97.3967,291.85,78,75,4.12,US,1665387169
Manono,-7.3,27.4167,306.86,18,11,2.18,CD,1665387207
Zonguldak,41.25,31.8333,284.62,66,61,0.24,TR,1665387207
Gīdam,18.9833,81.4,304.03,57,93,1.02,IN,1665387208
Jamame,0.0722,42.7506,303.49,49,31,6.58,SO,1665387208
Sisimiut,66.9395,-53.6735,270.13,64,100,2.14,GL,1665387209
Tabuk,17.4189,121.4443,296.36,93,100,5.04,PH,1665387209
Port Blair,11.6667,92.75,301.17,74,75,4.12,IN,1665387196
